i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
show me the flights arriving on baltimore on june fourteenth	O O O O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number
what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm	O O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-stoploc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
which airlines fly from boston to washington dc via other cities	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O
i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O
okay and then from pittsburgh i'd like to travel to atlanta on september fourth	O O O O B-fromloc.city_name O O O O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
show me all the flights from philadelphia to cincinnati	O O O O O O B-fromloc.city_name O B-toloc.city_name
okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available	O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O O
on tuesday what flights leave phoenix to st. paul minnesota and leave after noon	O B-depart_date.day_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O O B-depart_time.time_relative B-depart_time.time
american flights from chicago to los angeles morning	B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day
what types of ground transportation are there to san francisco airport	O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
in the next two days i want to fly from nashville to san jose or to tacoma	O O B-depart_date.date_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or O B-toloc.city_name
does continental airlines fly from denver to san francisco	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
chicago to milwaukee	B-fromloc.city_name O B-toloc.city_name
how many flights does twa have in business class	O O O O B-airline_code O O B-class_type I-class_type
show me the flights from dallas to baltimore in first class	O O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type
i'd like to find the least expensive one way fare from boston to philadelphia	O O O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
how many booking classes are there	O O O O O O
what are the flights from tacoma to san jose on wednesday the nineteenth	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number
what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name
please list all the arriving and departing flights from general mitchell international	O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name
what time zone is denver in	O O O O B-city_name O
show me ground transportation in boston and in baltimore	O O O O O B-city_name O O B-city_name
i want to find the first flight from baltimore to boston that serves a meal	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal
from seattle to salt lake city	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
can you show me the flights from dallas to baltimore with economy fares	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-economy O
what flights leave from phoenix	O O O O B-fromloc.city_name
what are the flights from pittsburgh to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
show flights leaving miami to cleveland on us air that leave after noon	O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time
please give me a list of all the flights between dallas and baltimore and their cost	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O
what does fare code y mean	O O O O B-fare_basis_code O
ground transportation in phoenix	O O O B-city_name
okay could you tell me what flight leaves dallas to san francisco by united airline	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
show me all flights from denver to san francisco next wednesday which leave after noon	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time
is there a flight from atlanta to san francisco that stops over in denver	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
show departures and arrivals in atlanta for american airlines	O O O O O B-city_name O B-airline_name I-airline_name
find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day
i want a flight originating in denver going to pittsburgh and atlanta in either order	O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-toloc.city_name O O O
show me the flights from dallas to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
what flights are available from denver to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the cost of a flight from boston to denver	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
show me the earliest flight from san jose to pittsburgh that serves a snack	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal_description
could you please give me the round trip fare from denver to atlanta	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
do you have a flight leaving boston at 645 am going to washington	O O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O B-toloc.city_name
what are all the flights into atlanta's airport	O O O O O O B-toloc.city_name O
show me the flights from atlanta to denver on friday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what does fare code qx mean	O O O O B-fare_basis_code O
i would like information on twa flights from washington to philadelphia	O O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name
which airlines fly from boston to washington dc but stopover in some other city	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O
ground transportation in oakland	O O O B-city_name
list all afternoon flights on united airlines from san francisco to denver	O O B-depart_time.period_of_day O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me all flights from san francisco to pittsburgh on a monday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
what is the latest flight leaving boston to denver	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
okay i would like to know the type of aircraft used on a flight from cleveland to dallas please	O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O
please show me the flights from las vegas to detroit on the twenty eighth	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name
i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia	O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name
give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	O O O B-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
american airlines from denver to milwaukee	B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	O O O O O B-depart_time.time O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.time_relative B-depart_time.time O B-fromloc.city_name O B-toloc.city_name
i need a return flight from philadelphia to boston	O O O O O O B-fromloc.city_name O B-toloc.city_name
northwest flights with stops in denver	B-airline_name O O O O B-stoploc.city_name
what is the first class fare from baltimore to dallas	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
could you please tell me the airlines that fly from toronto to san diego	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the earliest flight from memphis to cincinnati on june thirtieth	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
show me the nonstop flights from dallas to houston	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name
show me economy fares from dallas to baltimore	O O B-economy O O B-fromloc.city_name O B-toloc.city_name
i would like a flight on continental airlines on august twentieth from washington to pittsburgh	O O O O O O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name
do you have a flight on wednesday from denver to washington dc nonstop	O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-flight_stop
what is ewr	O O B-airport_code
i want to fly boston to san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flight leaves dallas for atlanta on august twenty seventh in the evening	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day
wednesday morning flights between baltimore and newark	B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
