i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book me a reservation at rustic inn	O O O O O B-restaurant_name I-restaurant_name
book a table for me leanne and tami at a restaurant serving caucasian food	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-cuisine B-restaurant_type
book a table in hallwood for one for supper	O O O O B-city O B-party_size_number O B-timeRange
book nuts on clark in irvington for 8 people in one hour	O B-restaurant_name I-restaurant_name I-restaurant_name O B-city O B-party_size_number O B-timeRange I-timeRange I-timeRange
i want to make a reservation for one at a sushi restaurant in brucetown	O O O O O O O B-party_size_number O O B-served_dish B-restaurant_type O B-city
me and my grandmother want to eat umbrian food on january the 7th at a brasserie	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type
book the union oyster house in guanica puerto rico	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state I-state
book a table at a restaurant in saudi arabia that serves presskopf	O O O O O B-restaurant_type O B-country I-country O O B-served_dish
i d like to get reservations at a top-rated restaurant in arkansas	O O O O O O O O B-sort B-restaurant_type O B-state
i want to get reservations at a place close by for 6 people to eat in sc	O O O O O O O O B-spatial_relation I-spatial_relation O B-party_size_number O O O O B-state
book a spot for two at sale creek at eight am	O O O O B-party_size_number O B-city I-city O B-timeRange I-timeRange
would like to book a restaurant the last day of sukkot for lee and ines	O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description
make a restaurant reservation for me and my son at twenty three o clock	O O B-restaurant_type O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange I-timeRange
book me a restaurant that serves hot chicken in dutch mills north dakota for 10 people for 3 am	O O O B-restaurant_type O O B-served_dish I-served_dish O B-city I-city B-state I-state O B-party_size_number O O B-timeRange I-timeRange
need a table for rita antoinette and i	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
find a table somewhere for me and my step mother in graniteville de	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city B-state
book a spot at a tsipouro restaurant in connecticut	O O O O O B-cuisine B-restaurant_type O B-state
book something for me and my wife at a restaurant in four weeks	O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type B-timeRange I-timeRange I-timeRange
book a table for nine people next mar	O O O O B-party_size_number O B-timeRange I-timeRange
book a spot for elise and alma at a brasserie in ravensdale mh for this week	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange
book a pub for helen and miriam in nine years from now	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange I-timeRange
please make reservations for a bar close-by in lake alfred	O O O O O B-restaurant_type B-spatial_relation O B-city I-city
book me a reservation for an outdoor restaurant	O O O O O O B-facility B-restaurant_type
book a table not far in wy at a gastropub with internet for me jenny and antoinette in one week	O O O B-spatial_relation I-spatial_relation O B-state O O B-restaurant_type O B-facility O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange
i need a reservation for the french laundry in oh for six	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number
book a reservation for a bistro	O O O O O B-restaurant_type
book a spot for 9 in new mexico	O O O O B-party_size_number O B-state I-state
i need a table in east timor for a party of nine at 5 north st	O O O O O B-country I-country O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
reserve a table for 3 people at the cubby bear in comoros	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
i d like to book a table at a restaurant for a group of 4	O O O O O O O O O B-restaurant_type O O O O B-party_size_number
book a table for lois effie price and i for next summer in italy	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange O B-country
book a restaurant in mp at 3 pm with pigs in blankets	O O B-restaurant_type O B-state O B-timeRange I-timeRange O B-served_dish I-served_dish I-served_dish
i want to eat at a escondida south carolina restaurant for 8 people	O O O O O O B-city B-state I-state B-restaurant_type O B-party_size_number O
i want to book a restaurant in wallsburg missouri for michele diann and pam	O O O O O B-restaurant_type O B-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book reservation at a restaurant in rocky fork for 2 people	O O O O B-restaurant_type O B-city I-city O B-party_size_number O
can you make a reservation for next year in modesto for joanna and ella	O O O O O O B-timeRange I-timeRange O B-city O B-party_size_description I-party_size_description I-party_size_description
book a restaurant for 9 people	O O B-restaurant_type O B-party_size_number O
make me a reservation in crugers at marlton circle for a party of eight	O O O O O B-city O B-restaurant_name I-restaurant_name O O O O B-party_size_number
book a spot at rimsky-korsakoffee house in mackville	O O O O B-restaurant_name I-restaurant_name O B-city
book a table for seven during our thailand trip that is within walking distance of our hotel	O O O O B-party_size_number O O B-country O O O B-spatial_relation I-spatial_relation I-spatial_relation O O O
book for my girlfriend and i for truffade at a gastropub in west virginia	O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-served_dish O O B-restaurant_type O B-state I-state
looking for a tibetan restaurant and need reservations for 1	O O O B-cuisine B-restaurant_type O O O O B-party_size_number
book for 2 at a cafe for burgers in gasport	O O B-party_size_number O O B-restaurant_type O B-served_dish O B-city
book seating for one person at a food truck	O O O B-party_size_number O O O B-restaurant_type I-restaurant_type
book a table for eight people please	O O O O B-party_size_number O O
book a restaurant for one person at three pm	O O B-restaurant_type O B-party_size_number O O B-timeRange I-timeRange
book a restaurant faraway from albertson now	O O B-restaurant_type B-spatial_relation O B-city B-timeRange
book the chapter one in bosnia and herzegovina for patti hester richardson and camille	O O B-restaurant_name I-restaurant_name O B-country I-country I-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a russian restaurant for 4 people	O O B-cuisine B-restaurant_type O B-party_size_number O
table for 4 in sparks	O O B-party_size_number O B-city
we want to eat at a brasserie with sicilian food in nebraska	O O O O O O B-restaurant_type O B-cuisine O O B-state
find a table at a restaurant that serves corn relish in venezuela	O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-country
book me a taverna restaurant	O O O B-restaurant_type I-restaurant_type
book me a reservation nearby my neighborhood	O O O O B-spatial_relation O B-poi
book a table for 1 at ringside steakhouse in hurricane	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-city
find a table for one at a popular churrascaria for three weeks from now	O O O O B-party_size_number O O B-sort B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange
book a table for 6 at a restaurant in pershing square manhattan at two am	O O O O B-party_size_number O O B-restaurant_type O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange
book a steakhouse with a spa for seven people	O O B-restaurant_type O O B-facility O B-party_size_number O
book a table for ida monica and etta at cold spring tavern in md	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-state
me and katharine would like to go eat at jan 22nd in ia	B-party_size_description I-party_size_description I-party_size_description O O O O O O B-timeRange I-timeRange O B-state
i want to eat at a highly rated food court	O O O O O O B-sort I-sort B-restaurant_type I-restaurant_type
i need a table for 3 in ak	O O O O O B-party_size_number O B-state
i need to find a restaurant for ten people at twelve am in liechtenstein	O O O O O B-restaurant_type O B-party_size_number O O B-timeRange I-timeRange O B-country
book the fry bread house for seven in olive	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-city
book a spot for 8 in hungary on february the 14th	O O O O B-party_size_number O B-country O B-timeRange I-timeRange I-timeRange
book a reservation for city tavern in long bridge	O O O O B-restaurant_name I-restaurant_name O B-city I-city
can you get a table at the triple door in district of columbia for me and deborah vasquez	O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
table for 1 please	O O B-party_size_number O
i need a booking for seven people at metropolitan museum of art	O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
book a restaurant in northern mariana islands with kristine alisha and florine	O O B-restaurant_type O B-state I-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book reservations at phase 1 in la jara	O O O B-restaurant_name I-restaurant_name O B-city I-city
get me a table for 5 at a restaurant which serves south tyrolean	O O O O O B-party_size_number O O B-restaurant_type O O B-cuisine I-cuisine
i need a restaurant booking for 2 people this month at a indian place in climax springs new mexico	O O O B-restaurant_type O O B-party_size_number O B-timeRange I-timeRange O O B-cuisine O O B-city I-city B-state I-state
book a reservation for 1 at pm park clear lake iowa in mongolia in 1 hour	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country B-timeRange I-timeRange I-timeRange
book a spot for krista yolanda and i in new mexico	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state I-state
book a spot that is faraway from the municipal borough of farnworth in 16 minutes	O O O O O B-spatial_relation O O B-poi I-poi I-poi I-poi B-timeRange I-timeRange I-timeRange
book a restaurant with internet in ny for four people	O O B-restaurant_type O B-facility O B-state O B-party_size_number O
book a spot for six friends	O O O O B-party_size_number O
find me a table for a cafe during my guinea trip for one	O O O O O O B-restaurant_name O O B-country O O B-party_size_number
need a table within the same area as beach 105th st for a party of 6	O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi O O O O B-party_size_number
reserve a table at bear hotel around finsbury park	O O O O B-restaurant_name I-restaurant_name B-spatial_relation B-poi I-poi
i need seats for six at a pub on january 15th 2030	O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book a table for mindy and angelita at a restaurant which serves café liégeois	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-served_dish I-served_dish
book a table for three at 0 am at a bar with wifi in schuyler lake	O O O O B-party_size_number O B-timeRange I-timeRange O O B-restaurant_type O B-facility O B-city I-city
lets go to the rainforest cafe that is in the same area as 135th st	O O O O B-restaurant_name I-restaurant_name O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
book a table for 1 somewhere in andorra	O O O O B-party_size_number O O B-country
book a spot at a steakhouse with internet	O O O O O B-restaurant_type O B-facility
book a table at a pool bar	O O O O O B-facility B-restaurant_type
i need a reservation for 02:53 at hotel arctic in state road	O O O O O B-timeRange O B-restaurant_name I-restaurant_name O B-city I-city
book a reservation for a party of six in the same area as metropolitan borough of bethnal green	O O O O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi I-poi
